cross-validation:early fusion
Epoch 7/32, Train Loss: 0.0166, Dev Acc: 0.2500, Dev AUC: 0.3846, Test Acc: 0.1875, Test AUC: 0.4231, Best Thresh: 0.24
Epoch 8/32, Train Loss: 0.0158, Dev Acc: 0.1875, Dev AUC: 0.3462, Test Acc: 0.1875, Test AUC: 0.3269, Best Thresh: 0.10
Epoch 9/32, Train Loss: 0.0160, Dev Acc: 0.1875, Dev AUC: 0.4038, Test Acc: 0.1875, Test AUC: 0.3718, Best Thresh: 0.10
Epoch 10/32, Train Loss: 0.0158, Dev Acc: 0.1875, Dev AUC: 0.3269, Test Acc: 0.1875, Test AUC: 0.3013, Best Thresh: 0.10
Epoch 11/32, Train Loss: 0.0155, Dev Acc: 0.1875, Dev AUC: 0.4038, Test Acc: 0.1875, Test AUC: 0.3333, Best Thresh: 0.10
Epoch 12/32, Train Loss: 0.0156, Dev Acc: 0.1875, Dev AUC: 0.4038, Test Acc: 0.1875, Test AUC: 0.4551, Best Thresh: 0.10
Epoch 13/32, Train Loss: 0.0156, Dev Acc: 0.2188, Dev AUC: 0.3718, Test Acc: 0.2188, Test AUC: 0.2949, Best Thresh: 0.20
Epoch 14/32, Train Loss: 0.0161, Dev Acc: 0.1875, Dev AUC: 0.3333, Test Acc: 0.1875, Test AUC: 0.3205, Best Thresh: 0.10
Epoch 15/32, Train Loss: 0.0155, Dev Acc: 0.1875, Dev AUC: 0.3462, Test Acc: 0.1875, Test AUC: 0.2821, Best Thresh: 0.10
Epoch 16/32, Train Loss: 0.0161, Dev Acc: 0.5000, Dev AUC: 0.4615, Test Acc: 0.3438, Test AUC: 0.3205, Best Thresh: 0.20
Epoch 17/32, Train Loss: 0.0151, Dev Acc: 0.1875, Dev AUC: 0.4103, Test Acc: 0.1875, Test AUC: 0.3333, Best Thresh: 0.10
Epoch 18/32, Train Loss: 0.0160, Dev Acc: 0.1875, Dev AUC: 0.2692, Test Acc: 0.1875, Test AUC: 0.2308, Best Thresh: 0.10
Epoch 19/32, Train Loss: 0.0153, Dev Acc: 0.1875, Dev AUC: 0.3333, Test Acc: 0.1875, Test AUC: 0.3141, Best Thresh: 0.10
Epoch 20/32, Train Loss: 0.0154, Dev Acc: 0.4688, Dev AUC: 0.4359, Test Acc: 0.1875, Test AUC: 0.3846, Best Thresh: 0.20
Epoch 21/32, Train Loss: 0.0158, Dev Acc: 0.2188, Dev AUC: 0.4231, Test Acc: 0.1875, Test AUC: 0.3269, Best Thresh: 0.16
Epoch 22/32, Train Loss: 0.0158, Dev Acc: 0.1875, Dev AUC: 0.3910, Test Acc: 0.1875, Test AUC: 0.4295, Best Thresh: 0.10
Epoch 23/32, Train Loss: 0.0161, Dev Acc: 0.5312, Dev AUC: 0.4167, Test Acc: 0.2188, Test AUC: 0.2756, Best Thresh: 0.22
Epoch 24/32, Train Loss: 0.0160, Dev Acc: 0.2188, Dev AUC: 0.4359, Test Acc: 0.2188, Test AUC: 0.3654, Best Thresh: 0.16
Epoch 25/32, Train Loss: 0.0165, Dev Acc: 0.1875, Dev AUC: 0.4103, Test Acc: 0.1875, Test AUC: 0.4038, Best Thresh: 0.10
Epoch 26/32, Train Loss: 0.0155, Dev Acc: 0.1875, Dev AUC: 0.2821, Test Acc: 0.1875, Test AUC: 0.3269, Best Thresh: 0.10
Epoch 27/32, Train Loss: 0.0159, Dev Acc: 0.5312, Dev AUC: 0.4679, Test Acc: 0.3125, Test AUC: 0.3782, Best Thresh: 0.22
Epoch 28/32, Train Loss: 0.0153, Dev Acc: 0.3125, Dev AUC: 0.3205, Test Acc: 0.2188, Test AUC: 0.2308, Best Thresh: 0.18
Epoch 29/32, Train Loss: 0.0162, Dev Acc: 0.1875, Dev AUC: 0.3910, Test Acc: 0.1875, Test AUC: 0.3397, Best Thresh: 0.10
Epoch 30/32, Train Loss: 0.0158, Dev Acc: 0.1875, Dev AUC: 0.4231, Test Acc: 0.1875, Test AUC: 0.3205, Best Thresh: 0.10
Epoch 31/32, Train Loss: 0.0153, Dev Acc: 0.1875, Dev AUC: 0.4038, Test Acc: 0.1875, Test AUC: 0.3910, Best Thresh: 0.10
Epoch 32/32, Train Loss: 0.0158, Dev Acc: 0.1875, Dev AUC: 0.4744, Test Acc: 0.1875, Test AUC: 0.3333, Best Thresh: 0.10
Epoch 1/32, Train Loss: 0.0240, Dev Acc: 0.7500, Dev AUC: 0.4815, Test Acc: 0.7188, Test AUC: 0.6987, Best Thresh: 0.58
Epoch 2/32, Train Loss: 0.0235, Dev Acc: 0.2188, Dev AUC: 0.4222, Test Acc: 0.2188, Test AUC: 0.5064, Best Thresh: 0.46
Epoch 3/32, Train Loss: 0.0229, Dev Acc: 0.2188, Dev AUC: 0.3852, Test Acc: 0.2188, Test AUC: 0.6154, Best Thresh: 0.44
